run_count,sample_index,camera_id,exposure_time,unix_timestamp,datetime,filename
1,8,1,1000000.0,1741389107.87448,2025-03-07 18:11:47.874480,captured_images\2025-03-07_18-02-32\4x4\Sample_8\sample_8_20250307_181147_0001_1.tif
1,9,0,998045.0,1741389126.480198,2025-03-07 18:12:06.480198,captured_images\2025-03-07_18-02-32\4x4\Sample_9\sample_9_20250307_181206_0001_0.tif
1,9,1,1000000.0,1741389126.480198,2025-03-07 18:12:06.480198,captured_images\2025-03-07_18-02-32\4x4\Sample_9\sample_9_20250307_181206_0001_1.tif
1,10,0,839925.0,1741389145.091439,2025-03-07 18:12:25.091439,captured_images\2025-03-07_18-02-32\4x4\Sample_10\sample_10_20250307_181225_0001_0.tif
1,10,1,935823.0,1741389145.091439,2025-03-07 18:12:25.091439,captured_images\2025-03-07_18-02-32\4x4\Sample_10\sample_10_20250307_181225_0001_1.tif
1,11,0,702957.0,1741389163.680809,2025-03-07 18:12:43.680809,captured_images\2025-03-07_18-02-32\4x4\Sample_11\sample_11_20250307_181243_0001_0.tif
1,11,1,812163.0,1741389163.680809,2025-03-07 18:12:43.680809,captured_images\2025-03-07_18-02-32\4x4\Sample_11\sample_11_20250307_181243_0001_1.tif
1,12,0,807123.0,1741389182.296144,2025-03-07 18:13:02.296144,captured_images\2025-03-07_18-02-32\4x4\Sample_12\sample_12_20250307_181302_0001_0.tif
1,12,1,883305.0,1741389182.296144,2025-03-07 18:13:02.296144,captured_images\2025-03-07_18-02-32\4x4\Sample_12\sample_12_20250307_181302_0001_1.tif
1,13,0,945850.0,1741389200.91515,2025-03-07 18:13:20.915150,captured_images\2025-03-07_18-02-32\4x4\Sample_13\sample_13_20250307_181320_0001_0.tif
1,13,1,1000000.0,1741389200.91515,2025-03-07 18:13:20.915150,captured_images\2025-03-07_18-02-32\4x4\Sample_13\sample_13_20250307_181320_0001_1.tif
1,14,0,1000000.0,1741389219.51686,2025-03-07 18:13:39.516860,captured_images\2025-03-07_18-02-32\4x4\Sample_14\sample_14_20250307_181339_0001_0.tif
1,14,1,1000000.0,1741389219.51686,2025-03-07 18:13:39.516860,captured_images\2025-03-07_18-02-32\4x4\Sample_14\sample_14_20250307_181339_0001_1.tif
1,15,0,1000000.0,1741389238.104681,2025-03-07 18:13:58.104681,captured_images\2025-03-07_18-02-32\4x4\Sample_15\sample_15_20250307_181358_0001_0.tif
1,15,1,1000000.0,1741389238.104681,2025-03-07 18:13:58.104681,captured_images\2025-03-07_18-02-32\4x4\Sample_15\sample_15_20250307_181358_0001_1.tif
2,0,0,874549.0,1741389319.253772,2025-03-07 18:15:19.253772,captured_images\2025-03-07_18-02-32\4x4\Sample_0\sample_0_20250307_181519_0002_0.tif
2,0,1,998697.0,1741389319.253772,2025-03-07 18:15:19.253772,captured_images\2025-03-07_18-02-32\4x4\Sample_0\sample_0_20250307_181519_0002_1.tif
2,1,0,737873.0,1741389337.863355,2025-03-07 18:15:37.863355,captured_images\2025-03-07_18-02-32\4x4\Sample_1\sample_1_20250307_181537_0002_0.tif
2,1,1,888998.0,1741389337.863355,2025-03-07 18:15:37.863355,captured_images\2025-03-07_18-02-32\4x4\Sample_1\sample_1_20250307_181537_0002_1.tif
